,Total,PMETs,Managers & Administrators (Including Working Proprietors),Professionals,Associate Professionals & Technicians,Non-PMETs,Clerical Support Workers,Service & Sales Workers,Craftsmen & Related Trades Workers,Plant & Machine Operators & Assemblers,"Cleaners, Labourers & Related Workers"
Total,"4,550","6,000","9,967","7,000","4,000","2,410","2,917","2,440","2,500","2,200","1,625"
15 - 19,"1,350",950,s,s,900,"1,650","1,800","1,600",s,s,s
20 - 24,"2,604","3,147",s,"3,625","3,000","2,161","2,200","2,000",s,"2,000","1,950"
25 - 29,"4,000","4,388","6,000","5,000","3,575","2,708","2,700","2,778","2,270","2,500","2,000"
30 - 34,"5,000","5,537","7,583","6,417","4,000","2,917","3,000","3,000","2,683","2,492","2,000"
35 - 39,"5,833","6,750","9,600","7,500","4,250","2,925","2,925","2,925","2,930","3,000","2,000"
40 - 44,"6,167","7,500","10,500","8,125","4,333","2,900","3,102","2,800","2,800","3,000","2,000"
45 - 49,"5,958","7,583","11,000","8,167","4,333","2,750","3,142","2,544","3,250","2,383","1,733"
50 - 54,"5,000","7,552","10,865","8,285","4,317","2,500","3,250","2,332","2,708","2,500","1,800"
55 - 59,"3,978","6,750","10,833","7,875","4,333","2,275","2,924","2,299","2,708","2,275","1,633"
60 & Over,"2,654","5,728","8,167","7,475","4,000","1,950","2,867","2,000","2,285","2,000","1,530"
