cancer_type,gender,age_at_diagnosis,n,n_predicted
Anus/Anal canal,F,10,0,-0.3386456281899303
Anus/Anal canal,F,11,0,-0.31758412288237076
Anus/Anal canal,F,12,0,-0.29641478007559463
Anus/Anal canal,F,13,0,-0.274963311679046
Anus/Anal canal,F,14,0,-0.25295244557790003
Anus/Anal canal,F,15,0,-0.23006030359957103
Anus/Anal canal,F,16,0,-0.20587521910072706
Anus/Anal canal,F,17,0,-0.1799309991411481
Anus/Anal canal,F,18,0,-0.15169045488588584
Anus/Anal canal,F,19,0,-0.12058680489143515
Anus/Anal canal,F,20,0,-0.08599947500830173
Anus/Anal canal,F,21,0,-0.0472791919255203
Anus/Anal canal,F,22,0,-0.0037482119010276323
Anus/Anal canal,F,23,0,0.045278623099138965
Anus/Anal canal,F,24,0,0.10048946913191341
Anus/Anal canal,F,25,0,0.1625618229056714
Anus/Anal canal,F,26,0,0.23213472120978212
Anus/Anal canal,F,27,0,0.309819666183328
Anus/Anal canal,F,28,0,0.39615083831246334
Anus/Anal canal,F,29,0,0.49158894688275756
Anus/Anal canal,F,30,0,0.5964499641231884
Anus/Anal canal,F,31,2,0.7109676386734995
Anus/Anal canal,F,32,1,0.835266256704298
Anus/Anal canal,F,33,0,0.969714889851595
Anus/Anal canal,F,34,1,1.1146536603525514
Anus/Anal canal,F,35,0,1.2703583730474066
Anus/Anal canal,F,36,0,1.4369060526041724
Anus/Anal canal,F,37,2,1.6140801129332498
Anus/Anal canal,F,38,1,1.801392298584135
Anus/Anal canal,F,39,3,1.9982716300129872
Anus/Anal canal,F,40,1,2.204098527960978
Anus/Anal canal,F,41,1,2.418365751469775
Anus/Anal canal,F,42,0,2.640211236836658
Anus/Anal canal,F,43,4,2.8685046943633656
Anus/Anal canal,F,44,1,3.1015069027711366
Anus/Anal canal,F,45,5,3.3374640655248418
Anus/Anal canal,F,46,5,3.574497697104097
Anus/Anal canal,F,47,5,3.81079784757133
Anus/Anal canal,F,48,5,4.0450677313574515
Anus/Anal canal,F,49,7,4.2763867137677165
Anus/Anal canal,F,50,5,4.504059165795851
Anus/Anal canal,F,51,4,4.728044859420511
Anus/Anal canal,F,52,4,4.948480829282435
Anus/Anal canal,F,53,4,5.165281091702972
Anus/Anal canal,F,54,8,5.378200857191133
Anus/Anal canal,F,55,9,5.586789724045616
Anus/Anal canal,F,56,2,5.791271200604695
Anus/Anal canal,F,57,3,5.9921544174812515
Anus/Anal canal,F,58,5,6.1897045083942785
Anus/Anal canal,F,59,9,6.383118084510067
Anus/Anal canal,F,60,6,6.571437913566226
Anus/Anal canal,F,61,8,6.754072320067251
Anus/Anal canal,F,62,12,6.930551996294068
Anus/Anal canal,F,63,8,7.100810031434576
Anus/Anal canal,F,64,5,7.265861753114609
Anus/Anal canal,F,65,4,7.426837881921202
Anus/Anal canal,F,66,6,7.584607412477462
Anus/Anal canal,F,67,8,7.739050512759154
Anus/Anal canal,F,68,12,7.889576249277262
Anus/Anal canal,F,69,4,8.036080690840317
Anus/Anal canal,F,70,9,8.178557809874775
Anus/Anal canal,F,71,7,8.316808821264488
Anus/Anal canal,F,72,7,8.450492036490887
Anus/Anal canal,F,73,8,8.578867505493761
Anus/Anal canal,F,74,6,8.701030469855114
Anus/Anal canal,F,75,15,8.815655534184506
Anus/Anal canal,F,76,13,8.921128175067237
Anus/Anal canal,F,77,10,9.017352710599509
Anus/Anal canal,F,78,5,9.104834326459509
Anus/Anal canal,F,79,14,9.18457529192195
Anus/Anal canal,F,80,8,9.25703914872152
Anus/Anal canal,F,81,14,9.323208361286778
Anus/Anal canal,F,82,8,9.384453633658195
Anus/Anal canal,F,83,6,9.44280977297903
Anus/Anal canal,F,84,6,9.499939717348145
Anus/Anal canal,M,10,0,0.004717908563490181
Anus/Anal canal,M,11,0,-0.004413205496468041
Anus/Anal canal,M,12,0,-0.013583649672281156
Anus/Anal canal,M,13,0,-0.022796469490335106
Anus/Anal canal,M,14,0,-0.031860628912079816
Anus/Anal canal,M,15,0,-0.04044911705821964
Anus/Anal canal,M,16,0,-0.04786202811984714
Anus/Anal canal,M,17,0,-0.05305429789469209
Anus/Anal canal,M,18,0,-0.05436445986444637
Anus/Anal canal,M,19,0,-0.04982860314439825
Anus/Anal canal,M,20,0,-0.03681538690704852
Anus/Anal canal,M,21,0,-0.012265129660010296
Anus/Anal canal,M,22,0,0.02728235202871421
Anus/Anal canal,M,23,0,0.0853109790086622
Anus/Anal canal,M,24,0,0.1650458339561842
Anus/Anal canal,M,25,0,0.2690289176962336
Anus/Anal canal,M,26,0,0.397320175250786
Anus/Anal canal,M,27,0,0.548497079169014
Anus/Anal canal,M,28,1,0.7163666944645161
Anus/Anal canal,M,29,2,0.8903726020248415
Anus/Anal canal,M,30,1,1.0657994486023075
Anus/Anal canal,M,31,1,1.241023970179659
Anus/Anal canal,M,32,0,1.418478338615544
Anus/Anal canal,M,33,2,1.595560434369967
Anus/Anal canal,M,34,2,1.76155691413386
Anus/Anal canal,M,35,4,1.904990256130247
Anus/Anal canal,M,36,1,2.0210825246302075
Anus/Anal canal,M,37,3,2.1166812407612334
Anus/Anal canal,M,38,4,2.1993237232187957
Anus/Anal canal,M,39,3,2.2798847840733933
Anus/Anal canal,M,40,0,2.386240544422046
Anus/Anal canal,M,41,1,2.550545097711104
Anus/Anal canal,M,42,2,2.783399698245846
Anus/Anal canal,M,43,4,3.086674277138082
Anus/Anal canal,M,44,2,3.451552589310044
Anus/Anal canal,M,45,6,3.8710396508772345
Anus/Anal canal,M,46,4,4.340167234225098
Anus/Anal canal,M,47,2,4.855153129028221
Anus/Anal canal,M,48,8,5.413515625100526
Anus/Anal canal,M,49,6,6.003514250731428
Anus/Anal canal,M,50,4,6.614425931339682
Anus/Anal canal,M,51,6,7.24305334914373
Anus/Anal canal,M,52,10,7.863583298542028
Anus/Anal canal,M,53,13,8.44694628252108
Anus/Anal canal,M,54,10,8.974935864022079
Anus/Anal canal,M,55,8,9.470386109361348
Anus/Anal canal,M,56,9,9.96715368090558
Anus/Anal canal,M,57,9,10.486764495157075
Anus/Anal canal,M,58,11,11.043665576806456
Anus/Anal canal,M,59,10,11.63803260489422
Anus/Anal canal,M,60,12,12.26557095294707
Anus/Anal canal,M,61,11,12.909768084525032
Anus/Anal canal,M,62,14,13.54783551196282
Anus/Anal canal,M,63,12,14.143875971512859
Anus/Anal canal,M,64,18,14.656165647358456
Anus/Anal canal,M,65,15,15.044511661117921
Anus/Anal canal,M,66,15,15.272918390267433
Anus/Anal canal,M,67,23,15.319722025087737
Anus/Anal canal,M,68,11,15.174470384460102
Anus/Anal canal,M,69,16,14.858465443920773
Anus/Anal canal,M,70,13,14.397423860828878
Anus/Anal canal,M,71,17,13.80373810662885
Anus/Anal canal,M,72,11,13.091983275137709
Anus/Anal canal,M,73,14,12.286752272237864
Anus/Anal canal,M,74,11,11.414961176451994
Anus/Anal canal,M,75,10,10.505276722560264
Anus/Anal canal,M,76,7,9.588690261011688
Anus/Anal canal,M,77,8,8.681116923348439
Anus/Anal canal,M,78,11,7.789698252599779
Anus/Anal canal,M,79,6,6.911248642868271
Anus/Anal canal,M,80,3,6.064840946716957
Anus/Anal canal,M,81,6,5.2558592177504275
Anus/Anal canal,M,82,3,4.481079210414187
Anus/Anal canal,M,83,6,3.7257469247991764
Anus/Anal canal,M,84,3,2.9764996433357003
Cervix,F,10,0,-0.0028520579890861176
Cervix,F,11,0,-0.04884060351430277
Cervix,F,12,0,-0.04370148187160909
Cervix,F,13,0,0.3625133075483887
Cervix,F,14,1,0.964557164563345
Cervix,F,15,2,1.1578354911635753
Cervix,F,16,0,0.3745507988350311
Cervix,F,17,0,0.8096603062178387
Cervix,F,18,4,2.3706747650350914
Cervix,F,19,3,5.126925460790922
Cervix,F,20,12,10.809148285434967
Cervix,F,21,19,15.937773551555445
Cervix,F,22,19,25.658808772227143
Cervix,F,23,48,44.17148239859355
Cervix,F,24,67,64.40912985186584
Cervix,F,25,84,88.60335361246571
Cervix,F,26,122,120.2613074473021
