Age,Number,Group
  10 - 14 Years,102112,Male
  15 - 19 Years,104927,Male
  20 - 24 Years,122309,Male
  25 - 29 Years,138548,Male
  30 - 34 Years,145681,Male
  35 - 39 Years,137345,Male
  40 - 44 Years,139814,Male
  45 - 49 Years,146202,Male
  50 - 54 Years,139908,Male
  55 - 59 Years,148830,Male
  60 - 64 Years,140889,Male
  65 - 69 Years,115595,Male
  70 - 74 Years,86337,Male
  75 - 79 Years,40996,Male
  80 - 84 Years,29886,Male
  10 - 14 Years,97881,Female
  15 - 19 Years,99986,Female
  20 - 24 Years,115411,Female
  25 - 29 Years,139489,Female
  30 - 34 Years,155379,Female
  35 - 39 Years,151876,Female
  40 - 44 Years,152956,Female
  45 - 49 Years,153923,Female
  50 - 54 Years,146054,Female
  55 - 59 Years,149396,Female
  60 - 64 Years,141723,Female
  65 - 69 Years,119796,Female
  70 - 74 Years,94989,Female
  75 - 79 Years,49982,Female
  80 - 84 Years,41669,Female
