,year,age,gender,Freq
1,2003-2007,<10,F,0
2,2008-2012,<10,F,0
3,2013-2017,<10,F,0
4,2018-2021,<10,F,0
5,2003-2007,10-14,F,0
6,2008-2012,10-14,F,0
7,2013-2017,10-14,F,0
8,2018-2021,10-14,F,0
9,2003-2007,15-19,F,0
10,2008-2012,15-19,F,0
11,2013-2017,15-19,F,0
12,2018-2021,15-19,F,0
13,2003-2007,20-24,F,0
14,2008-2012,20-24,F,0
15,2013-2017,20-24,F,0
16,2018-2021,20-24,F,0
17,2003-2007,25-29,F,0
18,2008-2012,25-29,F,0
19,2013-2017,25-29,F,0
20,2018-2021,25-29,F,0
21,2003-2007,30-34,F,-99
22,2008-2012,30-34,F,0
23,2013-2017,30-34,F,-99
24,2018-2021,30-34,F,0
25,2003-2007,35-39,F,0
26,2008-2012,35-39,F,0
27,2013-2017,35-39,F,-99
28,2018-2021,35-39,F,0
29,2003-2007,40-44,F,-99
30,2008-2012,40-44,F,-99
31,2013-2017,40-44,F,-99
32,2018-2021,40-44,F,0
33,2003-2007,45-49,F,-99
34,2008-2012,45-49,F,-99
35,2013-2017,45-49,F,-99
36,2018-2021,45-49,F,-99
37,2003-2007,50-54,F,-99
38,2008-2012,50-54,F,-99
39,2013-2017,50-54,F,-99
40,2018-2021,50-54,F,0
41,2003-2007,55-59,F,-99
42,2008-2012,55-59,F,-99
43,2013-2017,55-59,F,-99
44,2018-2021,55-59,F,-99
45,2003-2007,60-64,F,-99
46,2008-2012,60-64,F,7
47,2013-2017,60-64,F,5
48,2018-2021,60-64,F,0
49,2003-2007,65-69,F,7
50,2008-2012,65-69,F,-99
51,2013-2017,65-69,F,7
52,2018-2021,65-69,F,-99
53,2003-2007,70-74,F,-99
54,2008-2012,70-74,F,8
55,2013-2017,70-74,F,-99
56,2018-2021,70-74,F,-99
57,2003-2007,75-79,F,9
58,2008-2012,75-79,F,5
59,2013-2017,75-79,F,10
60,2018-2021,75-79,F,-99
61,2003-2007,80-84,F,5
62,2008-2012,80-84,F,-99
63,2013-2017,80-84,F,5
64,2018-2021,80-84,F,-99
65,2003-2007,>85,F,5
66,2008-2012,>85,F,-99
67,2013-2017,>85,F,10
68,2018-2021,>85,F,6
69,2003-2007,<10,M,0
70,2008-2012,<10,M,0
71,2013-2017,<10,M,0
72,2018-2021,<10,M,0
73,2003-2007,10-14,M,0
74,2008-2012,10-14,M,0
75,2013-2017,10-14,M,0
76,2018-2021,10-14,M,0
77,2003-2007,15-19,M,0
78,2008-2012,15-19,M,0
79,2013-2017,15-19,M,0
80,2018-2021,15-19,M,0
81,2003-2007,20-24,M,0
82,2008-2012,20-24,M,0
83,2013-2017,20-24,M,0
84,2018-2021,20-24,M,0
85,2003-2007,25-29,M,0
86,2008-2012,25-29,M,0
87,2013-2017,25-29,M,-99
88,2018-2021,25-29,M,0
89,2003-2007,30-34,M,0
90,2008-2012,30-34,M,-99
91,2013-2017,30-34,M,-99
92,2018-2021,30-34,M,-99
93,2003-2007,35-39,M,-99
94,2008-2012,35-39,M,-99
95,2013-2017,35-39,M,-99
96,2018-2021,35-39,M,0
97,2003-2007,40-44,M,-99
98,2008-2012,40-44,M,-99
99,2013-2017,40-44,M,-99
100,2018-2021,40-44,M,0
101,2003-2007,45-49,M,-99
102,2008-2012,45-49,M,-99
103,2013-2017,45-49,M,-99
104,2018-2021,45-49,M,-99
105,2003-2007,50-54,M,7
106,2008-2012,50-54,M,8
107,2013-2017,50-54,M,-99
108,2018-2021,50-54,M,-99
109,2003-2007,55-59,M,8
110,2008-2012,55-59,M,6
111,2013-2017,55-59,M,6
112,2018-2021,55-59,M,6
113,2003-2007,60-64,M,-99
114,2008-2012,60-64,M,10
115,2013-2017,60-64,M,13
116,2018-2021,60-64,M,6
117,2003-2007,65-69,M,10
118,2008-2012,65-69,M,10
119,2013-2017,65-69,M,14
120,2018-2021,65-69,M,5
121,2003-2007,70-74,M,10
122,2008-2012,70-74,M,6
123,2013-2017,70-74,M,7
124,2018-2021,70-74,M,-99
125,2003-2007,75-79,M,7
126,2008-2012,75-79,M,8
127,2013-2017,75-79,M,7
128,2018-2021,75-79,M,-99
129,2003-2007,80-84,M,-99
130,2008-2012,80-84,M,-99
131,2013-2017,80-84,M,5
132,2018-2021,80-84,M,-99
133,2003-2007,>85,M,6
134,2008-2012,>85,M,0
135,2013-2017,>85,M,0
136,2018-2021,>85,M,5
