,year,age,gender,Freq
1,2003-2007,<10,F,0
2,2008-2012,<10,F,0
3,2013-2017,<10,F,0
4,2018-2021,<10,F,0
5,2003-2007,10-14,F,0
6,2008-2012,10-14,F,-99
7,2013-2017,10-14,F,0
8,2018-2021,10-14,F,0
9,2003-2007,15-19,F,-99
10,2008-2012,15-19,F,-99
11,2013-2017,15-19,F,-99
12,2018-2021,15-19,F,0
13,2003-2007,20-24,F,50
14,2008-2012,20-24,F,37
15,2013-2017,20-24,F,31
16,2018-2021,20-24,F,11
17,2003-2007,25-29,F,183
18,2008-2012,25-29,F,200
19,2013-2017,25-29,F,176
20,2018-2021,25-29,F,106
21,2003-2007,30-34,F,307
22,2008-2012,30-34,F,350
23,2013-2017,30-34,F,347
24,2018-2021,30-34,F,200
25,2003-2007,35-39,F,437
26,2008-2012,35-39,F,382
27,2013-2017,35-39,F,392
28,2018-2021,35-39,F,260
29,2003-2007,40-44,F,467
30,2008-2012,40-44,F,355
31,2013-2017,40-44,F,333
32,2018-2021,40-44,F,219
33,2003-2007,45-49,F,438
34,2008-2012,45-49,F,311
35,2013-2017,45-49,F,332
36,2018-2021,45-49,F,174
37,2003-2007,50-54,F,292
38,2008-2012,50-54,F,248
39,2013-2017,50-54,F,233
40,2018-2021,50-54,F,119
41,2003-2007,55-59,F,222
42,2008-2012,55-59,F,181
43,2013-2017,55-59,F,225
44,2018-2021,55-59,F,107
45,2003-2007,60-64,F,157
46,2008-2012,60-64,F,127
47,2013-2017,60-64,F,148
48,2018-2021,60-64,F,113
49,2003-2007,65-69,F,157
50,2008-2012,65-69,F,120
51,2013-2017,65-69,F,138
52,2018-2021,65-69,F,103
53,2003-2007,70-74,F,126
54,2008-2012,70-74,F,82
55,2013-2017,70-74,F,91
56,2018-2021,70-74,F,61
57,2003-2007,75-79,F,62
58,2008-2012,75-79,F,68
59,2013-2017,75-79,F,69
60,2018-2021,75-79,F,31
61,2003-2007,80-84,F,54
62,2008-2012,80-84,F,41
63,2013-2017,80-84,F,53
64,2018-2021,80-84,F,28
65,2003-2007,>85,F,30
66,2008-2012,>85,F,43
67,2013-2017,>85,F,41
68,2018-2021,>85,F,32
