,year,age,gender,Freq
1,2003-2007,<10,F,0
2,2008-2012,<10,F,0
3,2013-2017,<10,F,0
4,2018-2021,<10,F,0
5,2003-2007,10-14,F,0
6,2008-2012,10-14,F,0
7,2013-2017,10-14,F,0
8,2018-2021,10-14,F,0
9,2003-2007,15-19,F,0
10,2008-2012,15-19,F,0
11,2013-2017,15-19,F,0
12,2018-2021,15-19,F,0
13,2003-2007,20-24,F,-99
14,2008-2012,20-24,F,-99
15,2013-2017,20-24,F,0
15,2018-2021,20-24,F,0
17,2003-2007,25-29,F,-99
18,2008-2012,25-29,F,7
19,2013-2017,25-29,F,-99
20,2018-2021,25-29,F,-99
21,2003-2007,30-34,F,17
22,2008-2012,30-34,F,8
23,2013-2017,30-34,F,11
24,2018-2021,30-34,F,5
25,2003-2007,35-39,F,23
26,2008-2012,35-39,F,18
27,2013-2017,35-39,F,25
28,2018-2021,35-39,F,9
29,2003-2007,40-44,F,47
30,2008-2012,40-44,F,27
31,2013-2017,40-44,F,24
32,2018-2021,40-44,F,9
33,2003-2007,45-49,F,68
34,2008-2012,45-49,F,37
35,2013-2017,45-49,F,42
36,2018-2021,45-49,F,12
37,2003-2007,50-54,F,77
38,2008-2012,50-54,F,62
39,2013-2017,50-54,F,47
40,2018-2021,50-54,F,9
41,2003-2007,55-59,F,73
42,2008-2012,55-59,F,46
43,2013-2017,55-59,F,46
44,2018-2021,55-59,F,20
45,2003-2007,60-64,F,77
46,2008-2012,60-64,F,51
47,2013-2017,60-64,F,38
48,2018-2021,60-64,F,22
49,2003-2007,65-69,F,100
50,2008-2012,65-69,F,56
51,2013-2017,65-69,F,49
52,2018-2021,65-69,F,21
53,2003-2007,70-74,F,94
54,2008-2012,70-74,F,43
55,2013-2017,70-74,F,37
56,2018-2021,70-74,F,15
57,2003-2007,75-79,F,51
58,2008-2012,75-79,F,50
59,2013-2017,75-79,F,37
60,2018-2021,75-79,F,12
61,2003-2007,80-84,F,52
62,2008-2012,80-84,F,37
63,2013-2017,80-84,F,33
64,2018-2021,80-84,F,16
65,2003-2007,>85,F,30
66,2008-2012,>85,F,42
67,2013-2017,>85,F,38
68,2018-2021,>85,F,23
