,year,age,gender,Freq
1,2003-2007,<10,M,0
2,2008-2012,<10,M,0
3,2013-2017,<10,M,0
4,2018-2021,<10,M,0
5,2003-2007,10-14,M,0
6,2008-2012,10-14,M,0
7,2013-2017,10-14,M,0
8,2018-2021,10-14,M,0
9,2003-2007,15-19,M,0
10,2008-2012,15-19,M,0
11,2013-2017,15-19,M,0
12,2018-2021,15-19,M,0
13,2003-2007,20-24,M,0
14,2008-2012,20-24,M,0
15,2013-2017,20-24,M,0
16,2018-2021,20-24,M,0
17,2003-2007,25-29,M,0
18,2008-2012,25-29,M,0
19,2013-2017,25-29,M,0
20,2018-2021,25-29,M,0
21,2003-2007,30-34,M,0
22,2008-2012,30-34,M,0
23,2013-2017,30-34,M,0
24,2018-2021,30-34,M,0
25,2003-2007,35-39,M,0
26,2008-2012,35-39,M,-99
27,2013-2017,35-39,M,0
28,2018-2021,35-39,M,0
29,2003-2007,40-44,M,-99
30,2008-2012,40-44,M,-99
31,2013-2017,40-44,M,0
32,2018-2021,40-44,M,0
33,2003-2007,45-49,M,-99
34,2008-2012,45-49,M,0
35,2013-2017,45-49,M,0
36,2018-2021,45-49,M,0
37,2003-2007,50-54,M,5
38,2008-2012,50-54,M,-99
39,2013-2017,50-54,M,-99
40,2018-2021,50-54,M,-99
41,2003-2007,55-59,M,7
42,2008-2012,55-59,M,7
43,2013-2017,55-59,M,-99
44,2018-2021,55-59,M,-99
45,2003-2007,60-64,M,-99
46,2008-2012,60-64,M,-99
47,2013-2017,60-64,M,-99
48,2018-2021,60-64,M,-99
49,2003-2007,65-69,M,-99
50,2008-2012,65-69,M,8
51,2013-2017,65-69,M,5
52,2018-2021,65-69,M,-99
53,2003-2007,70-74,M,9
54,2008-2012,70-74,M,7
55,2013-2017,70-74,M,8
56,2018-2021,70-74,M,-99
57,2003-2007,75-79,M,8
58,2008-2012,75-79,M,-99
59,2013-2017,75-79,M,7
60,2018-2021,75-79,M,-99
61,2003-2007,80-84,M,-99
62,2008-2012,80-84,M,5
63,2013-2017,80-84,M,-99
64,2018-2021,80-84,M,-99
65,2003-2007,>85,M,-99
66,2008-2012,>85,M,-99
67,2013-2017,>85,M,5
68,2018-2021,>85,M,-99
