Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  10 Year,Male,20657,21640,20575,19210,20378,21059,21768,21206,20870,20726,20604,21581,22109,24812,24463,23625,24989,25482,25957,26309,26726,26671,25944,27437,25957,27778,24966,20899,21509,22109,20762,22135,21656,21430,20863,20387,19357,20744,20227,20699,22283,23986,23220,22914,21189
  11 Year,Male,21809,20933,19458,20103,20993,21770,21160,20876,20710,20576,21509,22071,24762,24314,23618,25174,25555,26004,26358,26760,26662,25803,27509,25981,27832,25008,20985,21621,22194,20808,22211,21721,21523,20989,20582,19449,20836,20247,20772,22352,24051,23267,22939,21271,21656
  12 Year,Male,21048,19766,20367,20646,21678,21205,20826,20745,20560,21482,22048,24685,24310,23541,25138,25776,26119,26344,26790,26723,25787,27278,26020,27826,25037,21032,21712,22266,20870,22254,21785,21592,21057,20686,19665,20925,20271,20843,22412,24106,23318,22958,21348,21686,23387
  13 Year,Male,19935,20677,20985,21349,21093,20900,20703,20596,21467,22032,24629,24202,23510,25073,25757,26303,26512,26820,26759,25846,27268,25873,27871,25136,21062,21743,22349,20911,22310,21831,21646,21090,20744,19738,21119,20291,20918,22474,24162,23362,22975,21420,21718,23401,24315
  14 Year,Male,20803,21319,21681,20804,20825,20727,20569,21462,21982,24585,24169,23461,25006,25698,26295,26653,26953,26755,25884,27321,25881,27787,25158,21075,21751,22375,20965,22359,21873,21668,21104,20763,19760,21191,20425,20984,22533,24211,23391,22975,21476,21733,23399,24311,26294
  15 Year,Male,21432,22002,21257,20518,20667,20711,21533,22084,24626,24200,23479,24969,25687,26244,26666,27064,26969,25893,27358,25919,27798,25068,21114,21777,22383,20984,22396,21908,21689,21107,20791,19759,21225,20459,21151,22588,24257,23412,22967,21524,21739,23379,24301,26245,26571
  16 Year,Male,22019,21388,20883,20355,20550,21541,22039,24608,24176,23429,24927,25590,26170,26592,27044,27007,25989,27286,25894,27772,24948,20967,21783,22299,20951,22377,21914,21685,21090,20770,19743,21220,20439,21169,22836,24289,23431,22961,21560,21741,23369,24285,26204,26527,28089
  17 Year,Male,21457,21100,20743,20296,21561,22123,24666,24225,23474,24958,25560,26079,26520,26940,26950,26047,27381,25853,27719,24892,20857,21616,22221,20936,22290,21875,21643,21049,20741,19694,21201,20397,21126,22798,24523,23430,22931,21593,21729,23338,24250,26139,26467,28030,27704
  18 Year,Male,21260,21008,20798,21524,22206,24821,24273,23544,24996,25600,26057,26473,26869,26880,25953,27393,25951,27673,24862,20814,21511,21984,20844,22184,21806,21590,20985,20698,19658,21177,20371,21090,22719,24465,23613,22894,21618,21717,23299,24220,26074,26392,27960,27644,27984
  19 Year,Male,21094,20963,21840,22234,24884,24359,23591,25039,25639,26100,26491,26878,26860,25923,27390,25943,27710,24877,20816,21496,21957,20701,22138,21732,21572,20952,20689,19662,21203,20374,21081,22710,24431,23598,23091,21648,21706,23276,24178,26007,26323,27896,27579,27929,28902
  20 Year,Male,20986,21871,22347,24865,24372,23578,25030,25624,26104,26499,26872,26813,25909,27378,25950,27796,24936,20900,21589,22005,20597,21768,21776,21546,21007,20728,19745,21356,20524,21201,22855,24612,23757,23255,22022,21737,23248,24153,25948,26260,27835,27517,27888,28865,29176
  21 Year,Male,21782,22316,24814,24228,23519,24969,25563,26019,26447,26803,26746,25847,27327,25891,27820,25108,21041,21729,22186,20820,21811,21257,21701,21147,20862,19909,21500,20656,21442,23065,24816,23989,23513,22284,22313,23278,24152,25900,26212,27792,27480,27871,28838,29157,28807
  22 Year,Male,22250,24785,24203,23218,24909,25516,25969,26359,26690,26694,25775,27250,25860,27748,25289,21350,21958,22451,21163,22462,21764,21227,21518,21127,20256,21830,20903,21731,23418,25122,24313,23892,22625,22627,24199,24204,25920,26192,27744,27451,27849,28831,29164,28841,27995
  23 Year,Male,24856,24315,23343,24636,25570,26059,26395,26791,26748,25855,27314,25951,27917,25366,21720,22617,22964,21734,23038,22575,21859,21366,21763,20702,22319,21329,22147,23772,25539,24714,24258,23076,23055,24714,25476,26090,26346,27822,27517,27965,28946,29282,29014,28201,27652
