"","Cancer diagnosis","Sex","Age","Median lost income","95% uncertainty interval"
"1","Anal","Female",33,"-$256,403","[-$328,793 to -$185,668]"
"2","Anal","Female",50,"-$193,629","[-$243,765 to -$147,847]"
"3","Anal","Female",67,"-$50,952.90","[-$62,627 to -$39,768]"
"4","Anal","Male",33,"-$264,897","[-$342,888 to -$196,273]"
"5","Anal","Male",50,"-$280,106","[-$370,202 to -$210,983]"
"6","Anal","Male",67,"-$104,550","[-$129,835 to -$81,827]"
"7","Cervical","Female",33,"-$249,017","[-$320,422 to -$179,780]"
"8","Cervical","Female",50,"-$196,720","[-$237,305 to -$154,766]"
"9","Cervical","Female",67,"-$53,676.52","[-$62,534 to -$44,486]"
"10","Oropharyngeal","Female",33,"-$683,556","[-$918,486 to -$438,361]"
"11","Oropharyngeal","Female",50,"-$417,139","[-$506,552 to -$307,611]"
"12","Oropharyngeal","Female",67,"-$87,280.28","[-$99,960 to -$70,140]"
"13","Oropharyngeal","Male",33,"-$620,485","[-$838,324 to -$421,639]"
"14","Oropharyngeal","Male",50,"-$578,634","[-$733,119 to -$425,213]"
"15","Oropharyngeal","Male",67,"-$174,160","[-$200,951 to -$140,784]"
"16","Penile","Male",33,"-$249,939","[-$320,234 to -$186,179]"
"17","Penile","Male",50,"-$259,994","[-$343,611 to -$195,032]"
"18","Penile","Male",67,"-$100,067","[-$125,803 to -$76,835]"
"19","Vaginal","Female",33,"-$269,164","[-$345,871 to -$195,013]"
"20","Vaginal","Female",50,"-$215,222","[-$276,368 to -$162,357]"
"21","Vaginal","Female",67,"-$56,614.17","[-$71,296 to -$43,953]"
"22","Vulval","Female",33,"-$260,501","[-$332,013 to -$190,626]"
"23","Vulval","Female",50,"-$190,397","[-$236,547 to -$145,529]"
"24","Vulval","Female",67,"-$48,825.33","[-$59,700 to -$38,310]"
